,rateCode,price,Location,Instance Family,vCPU,Instance Type,Memory,Storage,Network Performance,plc:OperatingSystem,plc:InstanceFamily,Operating System,Pre Installed S/W,License Model
305,UEXH7Q44PXFHUZKW.JRTCKXETXF.6YS6EN2CT7,1.192,US East (Ohio),Memory optimized,16,r5b.4xlarge,128.0,EBS only,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
306,UH8SBACAHA9KG84N.JRTCKXETXF.6YS6EN2CT7,0.289,US East (Ohio),Compute optimized,8,c7g.2xlarge,16.0,EBS only,Up to 15 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
307,UJ7SHZE7GZJ3XERM.JRTCKXETXF.6YS6EN2CT7,0.343,US East (Ohio),Storage optimized,4,i4i.xlarge,32.0,1 x 937 NVMe SSD,Up to 10 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
308,UJSUMXN2V68MKC8Z.JRTCKXETXF.6YS6EN2CT7,0.616,US East (Ohio),General purpose,16,m6g.4xlarge,64.0,EBS only,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
309,UMK29BWNESP838CA.JRTCKXETXF.6YS6EN2CT7,14.4,US East (Ohio),GPU instance,64,p2.16xlarge,732.0,EBS only,20 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
310,URNH6CVVQNBUBHKN.JRTCKXETXF.6YS6EN2CT7,1.204,US East (Ohio),GPU instance,16,g4dn.4xlarge,64.0,225 GB NVMe SSD,Up to 25 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
311,UVU9TSGG6QHSMMRD.JRTCKXETXF.6YS6EN2CT7,5.424,US East (Ohio),General purpose,96,m5d.24xlarge,384.0,4 x 900 NVMe SSD,25 Gigabit,Linux,General Purpose,Linux,NA,No License required
312,U4X443UQC5K8CM42.JRTCKXETXF.6YS6EN2CT7,0.126,US East (Ohio),Memory optimized,2,r5.large,16.0,EBS only,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
313,U5PHPNZUM3BCD7M2.JRTCKXETXF.6YS6EN2CT7,3.34152,US East (Ohio),General purpose,48,m6in.12xlarge,192.0,EBS only,75000 Megabit,Linux,General Purpose,Linux,NA,No License required
314,U89ZGFBT83MY73GX.JRTCKXETXF.6YS6EN2CT7,0.113,US East (Ohio),General purpose,2,m5d.large,8.0,1 x 75 NVMe SSD,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
315,U9DDYBRASS3PUUBA.JRTCKXETXF.6YS6EN2CT7,3.4272,US East (Ohio),Memory optimized,64,r7g.metal,512.0,EBS only,30 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
316,UGX5BTRKK2SBX5R5.JRTCKXETXF.6YS6EN2CT7,0.0361,US East (Ohio),Compute optimized,1,c7g.medium,2.0,EBS only,Up to 12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
317,U29WF22NSMEHC7Z5.JRTCKXETXF.6YS6EN2CT7,2.448,US East (Ohio),Compute optimized,64,c6a.16xlarge,128.0,EBS only,25000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
318,J2U64VDM9T2PQM6K.JRTCKXETXF.6YS6EN2CT7,1.728,US East (Ohio),Compute optimized,36,c5d.9xlarge,72.0,1 x 900 NVMe SSD,10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
