,currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,instanceName,productId,skuId,availabilityId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,effectiveEndDate
1151,USD,0.0,0.146,0.146,southcentralus,US South Central,2017-03-01T00:00:00Z,49d99f3c-6b6a-4dc3-8f3f-022a4624bed3,E2s v3,DZH318Z0BQ4R,DZH318Z0BQ4R/00PN,,Virtual Machines ESv3 Series,E2s v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_E2s_v3,
1159,USD,0.0,3.642,3.642,southcentralus,US South Central,2021-11-01T00:00:00Z,4a37b924-b97d-5f11-84e5-348084bbf084,E32-8as v5,DZH318Z093XK,DZH318Z093XK/00B6,,Virtual Machines Easv5 Series Windows,E32-8as v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E32-8as_v5,
1160,USD,0.0,0.0499,0.0499,southcentralus,US South Central,2019-01-01T00:00:00Z,4a394775-8aee-4bfb-975c-a969624cc9b8,B2s,DZH318Z0BQ35,DZH318Z0BQ35/00HD,,Virtual Machines BS Series,B2s,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_B2s,
1161,USD,0.0,1.21,1.21,southcentralus,US South Central,2020-08-01T00:00:00Z,4a750b08-cb5d-58b0-af4d-af09b98e865f,E16s v4,DZH318Z0CSHL,DZH318Z0CSHL/00XF,,Virtual Machines Esv4 Series,E16s v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E16s_v4,
1165,USD,0.0,2.419,2.419,southcentralus,US South Central,2020-08-01T00:00:00Z,4a8bbba1-bd64-5ea9-80b9-b8c90211f6f3,E32-8s v4,DZH318Z0CSHL,DZH318Z0CSHL/00WP,,Virtual Machines Esv4 Series,E32-8s v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E32-8s_v4,
1167,USD,0.0,1.498,1.498,southcentralus,US South Central,2020-06-01T00:00:00Z,4aa6235d-c2ac-5118-8c1b-56f9d4249f29,E16-8ds v4,DZH318Z0CSHK,DZH318Z0CSHK/0105,,Virtual Machines Edsv4 Series,E16-8ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E16-8ds_v4,
1170,USD,0.0,0.605,0.605,southcentralus,US South Central,2020-08-01T00:00:00Z,4ae5f26e-3b99-5c5e-8f37-3aaeebc9eda2,E8s v4,DZH318Z0CSHL,DZH318Z0CSHL/00XC,,Virtual Machines Esv4 Series,E8s v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E8s_v4,
1171,USD,0.0,13.464,13.464,southcentralus,US South Central,2018-04-01T00:00:00Z,4b084f94-b57a-4a3e-8206-255eeb4ca08e,NC24s v3,DZH318Z0BQM2,DZH318Z0BQM2/001B,,Virtual Machines NCSv3 Series,NC24s v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC24s_v3,
1172,USD,0.0,6.019,6.019,southcentralus,US South Central,2020-06-01T00:00:00Z,4b0ff375-d7fc-5dab-938b-5bd61aed9c5b,NVsv3 Type1,DZH318Z0D21C,DZH318Z0D21C/000S,,NVSv3 Series Dedicated Host,NVsv3 Type1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,NVsv3_Type1,
1174,USD,0.0,1.842,1.842,southcentralus,US South Central,2022-07-01T00:00:00Z,4b319b89-eac2-58cb-904a-21cc5889ea1b,E16pds v5,DZH318Z092SG,DZH318Z092SG/0054,,Virtual Machines Epdsv5 Series Windows,Standard_E16pds_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E16pds_v5,
1184,USD,0.0,0.176,0.176,southcentralus,US South Central,2016-01-11T00:00:00Z,4bc56657-fc3b-4194-bb8e-d23e26b81d7d,A3,DZH318Z0BPRB,DZH318Z0BPRB/0049,,Virtual Machines A Series Basic,A3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Basic_A3,
1186,USD,0.0,1.21,1.21,southcentralus,US South Central,2020-11-01T00:00:00Z,4bfe876c-9c20-5a67-ae1a-83da3b288ab6,E16-8as_v4,DZH318Z0CM2D,DZH318Z0CM2D/01B6,,Virtual Machines Easv4 Series,E16-8as_v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E16-8as_v4,
1187,USD,0.0,2.64,2.64,southcentralus,US South Central,2019-06-01T00:00:00Z,4c293153-0c70-46ab-97f1-efdab8f2cd00,D48 v3/D48s v3,DZH318Z0BQ4K,DZH318Z0BQ4K/01BC,,Virtual Machines Dv3 Series,D48 v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D48_v3,
1188,USD,0.0,2.64,2.64,southcentralus,US South Central,2019-06-01T00:00:00Z,4c293153-0c70-46ab-97f1-efdab8f2cd00,D48s v3,DZH318Z0BQ50,DZH318Z0BQ50/01BM,,Virtual Machines DSv3 Series,D48s v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_D48s_v3,
1189,USD,0.0,1.117,1.117,southcentralus,US South Central,2020-06-01T00:00:00Z,4c4bc8c8-84cf-5fd6-a5c8-293c2ae1a613,E8d v4,DZH318Z0D1LH,DZH318Z0D1LH/006H,,Virtual Machines Edv4 Series Windows,E8d v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E8d_v4,
1193,USD,0.0,8.294,8.294,southcentralus,US South Central,2021-11-01T00:00:00Z,4c8f24b8-4a9b-56c6-b222-09a2d03d74f2,E96d v5,DZH318Z08M9R,DZH318Z08M9R/00RP,,Virtual Machines Edv5 Series,Standard_E96d_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E96d_v5,
1195,USD,0.0,1.958,1.958,southcentralus,US South Central,2022-09-01T00:00:00Z,4ca52d55-2213-5be9-b5ae-fee60c7c9524,D48pls v5,DZH318Z092S2,DZH318Z092S2/004C,,Virtual Machines Dplsv5 Series,Standard_D48pls_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D48pls_v5,
1196,USD,0.0,7.782,7.782,southcentralus,US South Central,2020-11-01T00:00:00Z,4cb87c70-374f-54e4-9769-91904a0708a4,E64-16as_v4,DZH318Z0CM92,DZH318Z0CM92/00T7,,Virtual Machines Easv4 Series Windows,E64-16as_v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E64-16as_v4,
1197,USD,0.0,3.891,3.891,southcentralus,US South Central,2020-08-01T00:00:00Z,4cbc4323-6422-51a7-9ca6-19a9461310c5,E32 v4,DZH318Z0D1L3,DZH318Z0D1L3/006Z,,Virtual Machines Ev4 Series Windows,E32 v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E32_v4,
